"","suburbs","Middle_Eastern","Lebanese","Turkish","Number.of.Hairdressing.Businesses"
"1","Abbotsford",0,1,0,0
"2","Airport West",1,1,5,15
"3","Albert Park",1,0,6,2
"4","Alphington - Fairfield",2,0,0,11
"5","Altona",5,0,1,13
"6","Altona Meadows",1,0,1,4
"7","Altona North",3,0,5,18
"8","Ardeer",0,0,0,2
"9","Armadale",0,0,0,12
"10","Ascot Vale",4,0,5,2
"11","Ashburton",0,0,0,5
"12","Ashwood - Chadstone",0,0,0,11
"13","Aspendale Gardens - Waterways",0,0,0,5
"14","Bacchus Marsh",0,0,0,11
"15","Balwyn",2,0,5,6
"16","Balwyn North",1,0,1,11
"17","Bayswater",0,0,0,7
"18","Bayswater North",0,0,2,2
"19","Beaconsfield - Officer",0,0,0,2
"20","Beaumaris",0,1,0,1
"21","Brunswick",28,13,5,13
"22","Brunswick East",0,0,10,9
"23","Brunswick West",0,0,7,4
"24","Bulleen",1,0,1,2
"25","Bundoora",3,0,2,12
"26","Bunyip - Garfield",0,0,0,7
"27","Burnside",0,0,0,2
"28","Burnside Heights",0,0,0,0
"29","Burwood",2,0,3,2
"30","Burwood East",0,0,8,5
"31","Cairnlea",0,0,0,7
"32","Camberwell",2,0,1,10
"33","Campbellfield - Coolaroo",10,0,4,21
"34","Carlton North - Princes Hill",2,1,6,13
"35","Carnegie",1,1,0,4
"36","Caroline Springs",0,0,0,13
"37","Carrum - Patterson Lakes",2,0,1,12
"38","Carrum Downs",0,0,0,8
"39","Caulfield",6,2,0,10
"40","Chelsea - Bonbeach",0,0,1,16
"41","Chelsea Heights",0,0,0,1
"42","Cheltenham - Highett",3,0,0,0
"43","Chirnside Park",0,0,0,7
"44","Clarinda",0,0,0,1
"45","Clayton",2,0,2,6
"46","Clayton South",0,0,0,6
"47","Coburg",23,5,5,7
"48","Coburg North",0,0,0,1
"49","Collingwood",5,1,0,6
"50","Craigieburn",2,0,1,8
"51","Cranbourne",1,0,1,2
"52","Croydon Hills - Warranwood",0,0,0,7
"53","Croydon South",0,0,0,3
"54","Dandenong",15,4,4,28
"55","Deer Park - Derrimut",1,0,1,19
"56","Delahey",0,0,0,3
"57","Dingley Village",0,0,0,3
"58","Docklands",11,2,5,2
"59","Doncaster",2,0,2,10
"60","Doncaster East",2,0,2,14
"61","Donvale - Park Orchards",0,0,0,4
"62","Doreen",2,0,1,2
"63","Doveton",0,0,0,0
"64","Dromana",1,0,0,4
"65","East Melbourne",0,0,0,1
"66","Edithvale - Aspendale",0,0,0,8
"67","Elsternwick",8,1,3,6
"68","Eltham",2,1,1,8
"69","Elwood",1,0,1,5
"70","Emerald - Cockatoo",0,0,0,7
"71","Endeavour Hills",4,0,2,4
"72","Epping",6,0,1,10
"73","Essendon - Aberfeldie",6,1,3,50
"74","Essendon Airport",0,0,0,2
"75","Fawkner",4,2,1,2
"76","Ferntree Gully",1,0,0,19
"77","Fitzroy",13,2,4,18
"78","Fitzroy North",6,1,1,10
"79","Flemington",2,0,1,5
"80","Flemington Racecourse",0,0,0,1
"81","Flinders",0,0,1,0
"82","Footscray",6,0,0,16
"83","Forest Hill",2,0,1,7
"84","Frankston",2,0,0,24
"85","Frankston North",0,0,0,10
"86","Frankston South",0,0,0,0
"87","Gisborne",0,1,1,0
"88","Gladstone Park - Westmeadows",2,0,0,10
"89","Glen Waverley",0,1,1,10
"90","Glenroy",4,0,0,9
"91","Gowanbrae",0,0,1,0
"92","Greensborough",2,0,1,17
"93","Greenvale - Bulla",1,1,1,7
"94","Hadfield",4,0,0,3
"95","Hallam",0,0,0,3
"96","Hampton Park - Lynbrook",1,0,0,5
"97","Hastings - Somers",0,0,2,1
"98","Hawthorn",4,0,0,11
"99","Hawthorn East",0,0,0,10
"100","Healesville - Yarra Glen",0,1,1,18
"101","Heidelberg - Rosanna",4,0,1,13
"102","Heidelberg West",2,0,0,2
"103","Hillside",0,0,1,7
"104","Hoppers Crossing",3,0,0,21
"105","Hughesdale",2,0,0,3
"106","Ivanhoe East - Eaglemont",0,0,0,9
"107","Keilor",2,0,2,6
"108","Keilor Downs",0,0,0,7
"109","Keilor East",2,0,2,13
"110","Kensington",0,0,0,4
"111","Kew",2,0,1,5
"112","Kew East",0,0,0,6
"113","Keysborough",1,0,0,4
"114","Kilsyth",0,0,0,4
"115","Kinglake",0,0,0,0
"116","Kings Park",0,0,0,0
"117","Kingsbury",0,0,0,1
"118","Knoxfield - Scoresby",0,0,0,9
"119","Koo Wee Rup",0,0,0,0
"120","Lalor",6,3,0,13
"121","Langwarrin",0,0,0,10
"122","Laverton",0,0,0,8
"123","Lilydale - Coldstream",0,0,0,21
"124","Lynbrook - Lyndhurst",0,0,0,7
"125","Lysterfield",0,0,0,1
"126","Macedon",0,0,0,0
"127","Malvern - Glen Iris",2,1,1,18
"128","Malvern East",0,0,0,20
"129","Maribyrnong",2,0,0,5
"130","Meadow Heights",3,2,0,1
"131","Melbourne",9,1,3,29
"132","Melbourne Airport",0,0,0,0
"133","Melton",0,0,0,14
"134","Melton South",0,0,0,5
"135","Melton West",0,0,0,5
"136","Mentone",2,0,2,11
"137","Mernda",2,0,1,2
"138","Mickleham - Yuroke",0,0,0,0
"139","Mill Park",3,2,0,17
"140","Mitcham",2,0,1,7
"141","Monbulk - Silvan",0,0,0,7
"142","Montmorency - Briar Hill",1,0,0,10
"143","Montrose",0,0,0,3
"144","Moonee Ponds",2,1,1,10
"145","Moorabbin - Heatherton",2,0,1,10
"146","Moorabbin Airport",0,0,0,1
"147","Mooroolbark",0,0,0,14
"148","Mordialloc - Parkdale",2,0,0,20
"149","Mornington",2,0,0,0
"150","Mount Dandenong - Olinda",0,0,0,3
"151","Mount Eliza",1,0,0,3
"152","Mount Evelyn",0,0,0,6
"153","Mount Martha",0,0,0,1
"154","Mount Waverley",2,0,1,13
"155","Mulgrave",0,0,0,9
"156","Murrumbeena",2,0,0,5
"157","Narre Warren North",0,0,0,0
"158","Narre Warren South",0,0,0,1
"159","Newport",0,0,0,4
"160","Noble Park",2,0,2,19
"161","Noble Park North",0,0,0,4
"162","North Melbourne",3,1,1,4
"163","Northcote",4,0,1,8
"164","Nunawading",1,0,0,5
"165","Oakleigh - Huntingdale",1,1,0,17
"166","Ormond - Glen Huntly",1,1,0,16
"167","Pakenham",1,0,1,0
"168","Panton Hill - St Andrews",0,0,0,1
"169","Parkville",1,0,0,0
"170","Pascoe Vale",0,0,0,4
"171","Pascoe Vale South",0,0,0,2
"172","Pearcedale - Tooradin",0,0,0,2
"173","Plenty - Yarrambat",1,1,0,8
"174","Point Cook",2,0,1,22
"175","Point Nepean",0,0,0,11
"176","Port Melbourne",2,0,1,18
"177","Port Melbourne Industrial",0,0,0,3
"178","Prahran - Windsor",6,0,1,31
"179","Preston",5,0,1,25
"180","Research - North Warrandyte",0,0,0,2
"181","Reservoir",6,2,2,9
"182","Richmond",6,1,1,12
"183","Riddells Creek",0,0,0,0
"184","Ringwood",3,0,0,15
"185","Ringwood East",0,0,0,10
"186","Ringwood North",0,0,0,10
"187","Rockbank - Mount Cottrell",0,0,0,1
"188","Romsey",0,0,0,0
"189","Rosebud - McCrae",0,0,0,15
"190","Rowville",0,0,0,5
"191","Roxburgh Park - Somerton",6,2,2,8
"192","Sandringham - Black Rock",2,0,0,13
"193","Seabrook",0,0,0,0
"194","Seaford",1,0,0,7
"195","Seddon - Kingsville",2,0,0,9
"196","Skye - Sandhurst",0,0,0,0
"197","Somerville",0,0,0,3
"198","South Melbourne",3,0,2,7
"199","South Morang",1,1,0,6
"200","South Yarra",8,1,4,30
"201","Southbank",1,0,0,2
"202","Springvale",1,0,1,18
"203","Springvale South",0,0,0,2
"204","St Albans",4,0,2,20
"205","St Kilda",7,1,1,9
"206","St Kilda East",2,1,0,7
"207","Strathmore",1,0,0,2
"208","Sunbury",1,0,0,2
"209","Sunshine",4,0,2,22
"210","Sunshine North",2,0,1,7
"211","Sunshine West",0,0,0,8
"212","Surrey Hills",0,0,0,12
"213","Sydenham",0,0,0,4
"214","Tarneit",2,0,1,12
"215","Taylors Hill",0,0,0,9
"216","Taylors Lakes",0,0,0,6
"217","Templestowe",2,1,0,3
"218","Templestowe Lower",0,0,0,2
"219","The Basin",0,0,0,3
"220","Thomastown",1,0,1,9
"221","Thornbury",2,0,0,11
"222","Toorak",0,0,0,3
"223","Truganina",0,0,0,4
"224","Tullamarine",3,0,2,4
"225","Upper Ferntree Gully",0,0,0,0
"226","Upwey - Tecoma",0,0,0,11
"227","Vermont",2,0,0,3
"228","Vermont South",0,0,0,3
"229","Viewbank - Yallambie",0,0,0,4
"230","Wallan",0,0,0,0
"231","Wandin - Seville",0,0,0,6
"232","Wantirna",2,0,1,2
"233","Wantirna South",0,0,0,16
"234","Watsonia",0,0,0,9
"235","Wattle Glen - Diamond Creek",0,0,0,7
"236","Werribee",2,1,1,18
"237","West Footscray - Tottenham",0,0,0,8
"238","West Melbourne",0,0,0,0
"239","Wheelers Hill",0,0,0,12
"240","Whittlesea",0,0,0,0
"241","Williamstown",1,0,1,6
"242","Wollert",1,1,0,1
"243","Wyndham Vale",0,0,0,2
"244","Yarra",8,1,4,4
"245","Yarra Valley",0,0,0,2
"246","Yarraville",0,0,0,12
"247","Boronia",0,0,0,21
"248","Ivanhoe",0,0,0,9
"249","Broadmeadows",5,1,1,13
"250","Blackburn South",0,0,0,3
"251","Braeside",0,0,0,0
"252","Narre Warren",2,0,0,0
"253","Brighton",1,0,1,13
"254","Glen Iris - East",5,0,4,0
"255","Brighton East",0,0,0,3
"256","Box Hill North",0,0,0,2
"257","Warrandyte - Wonga Park",0,0,0,9
"258","Box Hill",1,0,0,7
"259","Braybrook",1,0,1,4
"260","Hurstbridge",0,0,0,3
"261","Berwick",1,0,0,2
"262","Bentleigh East",0,0,0,10
"263","Bentleigh - McKinnon",4,0,0,12
"264","Croydon",0,0,0,24
"265","Hampton",3,0,2,19
"266","Blackburn",0,0,0,8
"267","Carlton",10,3,1,8
"268","Niddrie - Essendon West",0,0,0,0
"269","Belgrave - Selby",0,0,0,11
